--section--,**Statisics for 2011-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,39,67,306,374,956,79,1821
Alberta,AB,2,3,32,26,148,0,211
British Columbia,BC,2,8,54,70,82,4,220
Manitoba,MB,4,0,15,4,48,0,71
New Brunswick,NB,2,0,12,7,32,0,53
Newfoundland,NL,0,0,1,6,11,0,18
Nova Scotia,NS,1,0,1,15,29,0,46
North West Territories,NT,0,0,0,0,0,0,0
Nunavut,NU,0,0,0,0,0,0,0
Ontario,ON,26,33,174,175,530,63,1001
PEI,PE,0,0,3,2,15,0,20
Quebec,QC,1,17,10,23,31,8,90
Saskatchewan,SK,1,0,4,14,6,0,25
Yukon,YT,0,0,0,1,1,0,2
USA,US,0,3,0,25,18,4,50
Foreign,FO,0,3,0,6,5,0,14
,,,,,,,,_._
--section--,**Statisics for 2010-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,18,66,176,370,975,278,1883 
Alberta,AB,1,2,12,27,163,26,231
British Columbia,BC,1,9,34,69,81,56,250
Manitoba,MB,0,0,5,4,50,9,68
New Brunswick,NB,1,0,8,7,37,8,61
Newfoundland,NL,0,0,0,6,18,5,29
Nova Scotia,NS,0,0,1,15,26,0,42
North West Territories,NT,0,0,0,0,0,0,0
Nunavut,NU,0,0,0,0,0,0,0
Ontario,ON,14,33,105,169,531,156,1008
PEI,PE,0,0,4,2,13,4,23
Quebec,QC,0,16,6,25,33,6,86
Saskatchewan,SK,1,0,1,14,6,3,25
Yukon,YT,0,0,0,1,1,0,2
USA,US,0,3,0,25,13,4,45
Foreign,FO,0,3,0,6,3,1,13
,,,,,,,,_._
--section--,**Statisics for 2009-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,16,63,176,370,946,354,1925
Alberta,AB,3,2,13,27,153,63,261
British Columbia,BC,0,9,29,71,83,68,260
Manitoba,MB,0,0,7,4,45,3,59
New Brunswick,NB,0,0,7,7,45,15,74
Newfoundland,NL,0,0,0,6,21,4,31
Nova Scotia,NS,0,0,5,14,35,1,55
North West Territories,NT,0,0,0,0,0,0,0
Nunavut,NU,0,0,0,1,0,0,1
Ontario,ON,13,28,101,166,507,174,989
PEI,PE,0,0,6,2,6,0,14
Quebec,QC,0,16,3,27,23,22,91
Saskatchewan,SK,0,0,4,14,15,2,35
Yukon,YT,0,0,0,1,0,0,1
USA,US,0,3,1,24,11,2,41
Foreign,FO,0,5,0,6,2,0,13
,,,,,,,,_._
--section--,**Statisics for 2008-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,13,61,204,366,996,171,1811 
Alberta,AB,2,1,26,27,150,29,235
British Columbia,BC,0,8,40,70,96,25,239
Manitoba,MB,0,0,10,4,53,6,73
New Brunswick,NB,2,0,5,7,52,5,71
Newfoundland,NL,0,0,1,6,15,6,28
Nova Scotia,NS,0,0,6,14,40,0,60
Nunavut,NU,0,0,0,1,0,0,1
Ontario,ON,9,27,110,164,523,87,920
PEI,PE,0,0,3,2,5,2,12
Quebec,QC,0,16,0,26,33,10,85
Saskatchewan,SK,0,0,2,14,14,1,32
Yukon,YT,0,0,0,1,2,0,3
USA,US,0,4,0,24,11,0,39
Foreign,FO,0,5,0,6,2,0,13
,,,,,,,,_._
--section--,**Statisics for 2007-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,9,53,180,350,1004,156,1763 
Alberta,AB,3,2,13,27,153,25,223
British Columbia,BC,2,7,28,68,82,24,211
Manitoba,MB,0,0,5,5,50,2,62
New Brunswick,NB,0,0,6,6,59,6,77
Newfoundland,NL,0,0,0,6,21,5,32
Nova Scotia,NS,0,0,9,13,41,0,63
North West Territories,NT,0,0,0,0,0,0,0
Nunavut,NU,0,0,0,1,0,0,1
Ontario,ON,4,25,98,158,501,87,873
PEI,PE,0,0,6,2,6,0,14
Quebec,QC,0,16,4,26,40,2,88
Saskatchewan,SK,0,0,11,14,27,5,57
Yukon,YT,0,0,0,1,1,0,2
USA,US,0,3,0,23,24,0,50
Foreign,FO,0,3,0,6,1,0,10
,,,,,,,,_._
--section--,**Statisics for 2006-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,16,51,217,355,1303,185,2127 
Alberta,AB,0,1,27,26,177,27,258
British Columbia,BC,0,6,30,68,107,22,233
Manitoba,MB,2,0,7,5,61,2,77
New Brunswick,NB,4,0,12,6,78,10,110
Newfoundland,NL,0,0,1,6,22,10,39
Nova Scotia,NS,0,0,9,13,41,1,64
North West Territories,NT,0,0,0,0,1,0,1
Nunavut,NU,0,0,0,1,1,0,2
Ontario,ON,9,22,116,155,687,106,1095
PEI,PE,0,0,1,2,6,1,10
Quebec,QC,0,17,3,28,61,0,109
Saskatchewan,SK,1,0,10,13,29,6,59
Yukon,YT,0,0,0,1,2,0,3
USA,US,0,2,1,24,28,0,55
Foreign,FO,0,3,0,6,2,0,11
,,,,,,,,_._
--section--,**Statisics for 2005-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,13,52,249,351,1488,436,2589 
Alberta,AB,1,1,33,29,194,25,283
British Columbia,BC,2,5,32,66,114,22,241
Manitoba,MB,0,0,11,5,55,1,71
New Brunswick,NB,3,0,8,5,93,17,126
Newfoundland,NL,0,0,3,6,32,10,51
Nova Scotia,NS,0,0,8,12,49,1,70
North West Territories,NT,0,0,0,0,3,0,3
Nunavut,NU,0,0,0,1,0,0,1
Ontario,ON,6,22,141,154,789,251,1463
PEI,PE,0,0,0,2,7,0,9
Quebec,QC,0,18,4,28,80,2,132
Saskatchewan,SK,0,0,7,14,30,5,56
Yukon,YT,0,0,0,1,4,0,5
USA,US,1,3,2,23,35,2,62
Foreign,FO,0,3,1,5,3,0,12
,,,,,,,,_._
--section--,**Statisics for 2004-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,19,51,242,349,1606,434,2701 
Alberta,AB,0,1,22,30,184,15,252
British Columbia,BC,2,5,30,64,160,42,303
Manitoba,MB,0,0,13,5,59,2,79
New Brunswick,NB,5,0,13,5,96,16,135
Newfoundland,NL,0,0,3,6,27,12,48
Nova Scotia,NS,1,0,5,12,51,4,73
North West Territories,NT,0,0,0,0,2,0,2
Nunavut,NU,0,0,0,1,1,0,2
Ontario,ON,8,22,139,154,851,307,1481
PEI,PE,0,0,1,2,9,0,12
Quebec,QC,0,17,4,28,80,4,133
Saskatchewan,SK,1,0,10,14,33,10,68
Yukon,YT,0,0,0,1,4,0,5
USA,US,2,3,1,22,40,22,90
Foreign,FO,0,3,1,5,9,0,18
,,,,,,,,_._
--section--,**Statisics for 2003-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,15,48,244,342,1642,200,2491 
Alberta,AB,3,1,24,28,190,14,260
British Columbia,BC,4,5,45,63,165,22,304
Manitoba,MB,0,0,15,5,65,5,90
New Brunswick,NB,1,0,8,6,98,14,127
Newfoundland,NL,0,0,1,5,28,23,57
Nova Scotia,NS,1,0,6,12,52,2,73
North West Territories,NT,0,0,0,0,1,0,1
Nunavut,NU,0,0,0,0,2,0,2
Ontario,ON,4,22,132,153,853,112,1276
PEI,PE,0,0,3,2,10,0,15
Quebec,QC,0,15,5,27,80,4,131
Saskatchewan,SK,1,0,5,14,26,0,46
Yukon,YT,0,0,0,1,5,0,6
USA,US,1,2,0,21,59,4,87
Foreign,FO,0,3,0,5,8,0,16
,,,,,,,,_._
--section--,**Statisics for 2002-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,16,43,233,338,1684,135,2449 
Alberta,AB,0,1,20,26,176,12,235
British Columbia,BC,3,5,30,64,172,30,304
Manitoba,MB,0,0,13,5,54,0,72
New Brunswick,NB,1,0,11,6,83,11,112
Newfoundland,NL,0,0,0,5,31,6,42
Nova Scotia,NS,1,0,8,12,63,2,86
North West Territories,NT,0,0,0,0,2,0,2
Nunavut,NU,0,0,0,0,0,0,0
Ontario,ON,10,19,135,151,905,61,1281
PEI,PE,0,0,3,2,9,5,19
Quebec,QC,0,12,8,27,88,2,137
Saskatchewan,SK,0,0,3,15,14,0,32
Yukon,YT,0,0,0,0,5,0,5
USA,US,1,3,2,20,68,6,100
Foreign,FO,0,3,0,5,14,0,22
,,,,,,,,_._
--section--,**Statisics for 2001-04-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,25,39,278,335,1745,140,2562 
Alberta,AB,8,1,19,25,180,8,241
British Columbia,BC,0,5,41,64,192,30,332
Manitoba,MB,0,0,8,5,55,3,71
New Brunswick,NB,1,0,20,6,89,15,131
Newfoundland,NL,0,0,3,5,25,18,51
Nova Scotia,NS,1,0,11,12,69,4,97
North West Territories,NT,0,0,1,0,2,0,3
Nunavut,NU,0,0,0,0,0,0,0
Ontario,ON,11,16,149,148,938,58,1320
PEI,PE,0,0,3,2,9,3,17
Quebec,QC,0,11,16,27,80,1,135
Saskatchewan,SK,0,0,3,15,24,0,42
Yukon,YT,0,0,0,0,11,0,11
USA,US,3,3,3,20,64,0,93
Foreign,FO,1,3,1,6,7,0,18
,,,,,,,,_._
--section--,**Statisics for 2000-05-01**,,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Participating<br>Junior**,**Total**
,**Total:**,31,37,316,329,1833,280,2826 
Alberta,AB,9,1,22,25,187,19,263
British Columbia,BC,2,5,41,63,221,137,469
Manitoba,MB,0,1,8,5,63,2,79
New Brunswick,NB,2,0,23,5,86,6,122
Newfoundland,NL,0,0,4,5,29,16,54
Nova Scotia,NS,5,0,12,11,80,7,115
North West Territories,NT,0,0,0,0,1,0,1
Nunavut,NU,0,0,0,0,0,0,0
