--section--,**Statisics for 2022-05-01**,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Total**
,**Total:**,28,86,962,503,968,2547
Alberta,AB,2,6,141,37,174,360
British Columbia,BC,4,9,182,90,170,455
Manitoba,MB,1,0,8,8,35,52
New Brunswick,NB,0,0,17,9,39,65
Newfoundland,NL,0,0,1,8,11,20
Nova Scotia,NS,2,0,13,17,22,54
North West Territories,NT,0,0,0,0,0,0
Nunavut,NU,0,0,0,0,0,0
Ontario,ON,19,45,551,255,464,1334
PEI,PE,0,0,6,1,7,14
Quebec,QC,0,20,16,27,26,89
Saskatchewan,SK,0,0,9,16,8,33
Yukon,YT,0,0,9,1,5,15
USA,US,0,3,2,27,7,39
Foreign,FO,0,3,7,7,0,17
,,,,,,,_._
--section--,**Statisics for 2021-05-01**,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Total**
,**Total:**,38,83,809,473,970,2373
Alberta,AB,4,6,44,32,120,206
British Columbia,BC,5,9,128,86,166,394
Manitoba,MB,2,0,12,8,46,68
New Brunswick,NB,2,0,24,9,31,66
Newfoundland,NL,0,0,3,7,9,19
Nova Scotia,NS,2,0,13,16,31,62
North West Territories,NT,0,0,0,0,0,0
Nunavut,NU,0,0,0,0,0,0
Ontario,ON,22,44,528,237,494,1325
PEI,PE,0,0,5,1,6,12
Quebec,QC,0,18,6,27,21,72
Saskatchewan,SK,1,0,15,16,19,51
Yukon,YT,0,0,2,1,5,8
USA,US,0,3,21,27,15,66
Foreign,FO,0,3,8,6,7,24
,,,,,,,_._
--section--,**Statisics for 2020-05-01**,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Total**
,**Total:**,61,83,1052,468,1126,2790
Alberta,AB,4,6,66,32,152,260
British Columbia,BC,7,9,146,88,176,426
Manitoba,MB,2,0,13,8,53,76
New Brunswick,NB,3,0,24,9,32,68
Newfoundland,NL,0,0,5,7,12,24
Nova Scotia,NS,1,0,12,16,43,72
North West Territories,NT,0,0,0,0,0,0
Nunavut,NU,0,0,0,0,0,0
Ontario,ON,41,44,736,234,602,1657
PEI,PE,2,0,14,1,8,25
Quebec,QC,0,18,2,26,0,46
Saskatchewan,SK,1,0,18,15,34,68
Yukon,YT,0,0,0,1,2,3
USA,US,0,3,8,26,7,44
Foreign,FO,0,3,8,5,5,21
,,,,,,,_._
--section--,**Statisics for 2019-05-01**,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Total**
,**Total:**,58,83,931,455,974,2501
Alberta,AB,4,6,73,31,120,234
British Columbia,BC,3,9,130,87,136,365
Manitoba,MB,4,0,5,8,42,59
New Brunswick,NB,5,0,34,7,38,84
Newfoundland,NL,0,0,7,7,10,24
Nova Scotia,NS,0,0,7,17,35,59
North West Territories,NT,0,0,0,0,1,1
Nunavut,NU,0,0,0,0,0,0
Ontario,ON,39,44,635,224,533,1475
PEI,PE,2,0,22,2,7,33
Quebec,QC,0,18,1,26,1,46
Saskatchewan,SK,0,0,8,14,31,53
Yukon,YT,0,0,0,1,2,3
USA,US,1,3,3,26,12,45
Foreign,FO,0,3,6,5,6,20
,,,,,,,_._
--section--,**Statisics for 2018-05-01**,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Total**
,**Total:**,58,78,793,435,920,2284
Alberta,AB,5,6,42,29,129,211
British Columbia,BC,8,8,114,82,139,351
Manitoba,MB,3,0,14,8,36,61
New Brunswick,NB,5,0,30,7,45,87
Newfoundland,NL,0,0,5,6,20,31
Nova Scotia,NS,0,0,5,17,38,60
North West Territories,NT,0,0,0,0,0,0
Nunavut,NU,0,0,0,0,0,0
Ontario,ON,33,42,555,212,486,1328
PEI,PE,0,0,12,2,2,16
Quebec,QC,0,17,0,26,0,43
Saskatchewan,SK,4,0,4,14,14,36
Yukon,YT,0,0,0,1,0,1
USA,US,0,2,8,26,8,44
Foreign,FO,0,3,4,5,3,16
,,,,,,,_._
--section--,**Statisics for 2017-05-01**,,,,,,
,,**Family**,**Honorary**,**Junior**,**Life**,**Adult**,**Total**
,**Total:**,40,77,731,419,866,2133
Alberta,AB,6,5,35,28,144,218
British Columbia,BC,8,8,92,80,127,315
Manitoba,MB,4,0,9,6,38,57
New Brunswick,NB,1,0,30,7,29,67
Newfoundland,NL,1,0,2,6,13,22
Nova Scotia,NS,0,0,4,17,28,49
North West Territories,NT,0,0,0,0,0,0
Nunavut,NU,0,0,0,0,0,0
